GAME_ID	DATE	HOME_TEAM	AWAY_TEAM	HOME_SCORE	AWAY_SCORE	GAME_TYPE
128	5/25/14	Boston Breakers	FC Kansas City	0	2	Regular Season
129	5/25/14	Seattle Reign FC	Western New York Flash	2	2	Regular Season
130	5/26/14	Washington Spirit	Houston Dash	3	2	Regular Season
131	5/28/14	Sky Blue FC	Chicago Red Stars	0	2	Regular Season
132	5/28/14	Boston Breakers	Portland Thorns FC	4	1	Regular Season
133	5/31/14	Western New York Flash	Houston Dash	1	2	Regular Season
134	6/1/14	Sky Blue FC	Seattle Reign FC	1	3	Regular Season
135	6/1/14	Boston Breakers	Washington Spirit	2	3	Regular Season
136	6/4/14	FC Kansas City	Western New York Flash	1	0	Regular Season
137	6/4/14	Chicago Red Stars	Washington Spirit	0	1	Regular Season
138	6/7/14	FC Kansas City	Boston Breakers	2	0	Regular Season
139	6/7/14	Seattle Reign FC	Chicago Red Stars	3	1	Regular Season
140	6/7/14	Portland Thorns FC	Western New York Flash	0	5	Regular Season
141	6/8/14	Sky Blue FC	Houston Dash	0	3	Regular Season
142	6/11/14	Boston Breakers	Washington Spirit	2	0	Regular Season
143	6/11/14	Houston Dash	Western New York Flash	2	1	Regular Season
144	6/14/14	Houston Dash	FC Kansas City	1	2	Regular Season
145	6/15/14	Chicago Red Stars	Sky Blue FC	2	2	Regular Season
146	6/15/14	Portland Thorns FC	Washington Spirit	2	0	Regular Season
147	6/18/14	Western New York Flash	Chicago Red Stars	2	0	Regular Season
148	6/19/14	Boston Breakers	Seattle Reign FC	0	2	Regular Season
149	6/21/14	Washington Spirit	Portland Thorns FC	1	6	Regular Season
150	6/21/14	FC Kansas City	Chicago Red Stars	1	0	Regular Season
151	6/22/14	Sky Blue FC	Boston Breakers	1	1	Regular Season
152	6/22/14	Western New York Flash	Seattle Reign FC	1	2	Regular Season
153	6/25/14	Portland Thorns FC	Sky Blue FC	1	2	Regular Season
154	6/27/14	Western New York Flash	Boston Breakers	2	1	Regular Season
155	6/28/14	FC Kansas City	Portland Thorns FC	1	0	Regular Season
156	6/28/14	Houston Dash	Washington Spirit	0	1	Regular Season
157	6/28/14	Seattle Reign FC	Sky Blue FC	0	0	Regular Season
158	7/2/14	Washington Spirit	Boston Breakers	3	3	Regular Season
159	7/2/14	Western New York Flash	Seattle Reign FC	1	2	Regular Season
160	7/4/14	Portland Thorns FC	Chicago Red Stars	2	2	Regular Season
161	7/5/14	Houston Dash	Western New York Flash	1	4	Regular Season
162	7/6/14	Sky Blue FC	FC Kansas City	0	5	Regular Season
163	7/6/14	Seattle Reign FC	Boston Breakers	3	2	Regular Season
164	7/9/14	Chicago Red Stars	Portland Thorns FC	1	1	Regular Season
165	7/11/14	Houston Dash	Boston Breakers	2	1	Regular Season
166	7/12/14	Western New York Flash	Washington Spirit	0	1	Regular Season
